Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
XTEJ1550-564 30191-01-12-00 1.32853222E+00 1.62276048E-02 1.79581158E-02 5.92928886E-01 7.45498165E-02 6.59195036E-02 2.68565537E-03 3.65292246E-04 3.27249494E-04 8.20675 2.71266294E+00 2.97006848E-03 2.88603641E-03 3.05758148E-01 7.52942543E-03 7.90507067E-03 2.02643722E-02 3.24167486E-04 3.47052643E-04 58.3899 5.37281752E+00 9.77523718E-03 9.58631560E-03 5.38238823E-01 3.02438159E-02 3.02464031E-02 2.17026193E-03 9.46256623E-05 9.75519797E-05 22.2472 - - - - - - - - - - C 240.0 11808.0
XTEJ1550-564 30191-01-13-00 1.31104457E+00 2.65023783E-02 2.75033154E-02 5.00418603E-01 9.66834500E-02 9.39751267E-02 2.30379356E-03 4.74438100E-04 4.72843210E-04 4.87221 2.64432025E+00 4.18487331E-03 4.17262968E-03 3.05979192E-01 1.17885023E-02 1.19814593E-02 2.09318902E-02 4.73410677E-04 4.92779829E-04 42.4772 5.25333357E+00 1.55073693E-02 1.52632874E-02 5.20604372E-01 3.70808765E-02 3.68836448E-02 2.22363486E-03 1.34859118E-04 1.37304509E-04 16.1949 - - - - - - - - - - C 0.0 5856.0
XTEJ1550-564 30191-01-14-00 1.36552727E+00 1.53862974E-02 1.54085839E-02 4.54419672E-01 5.39990142E-02 4.99125794E-02 2.54093483E-03 2.75262224E-04 2.66662304E-04 9.52866 2.68434834E+00 3.78210610E-03 3.82977212E-03 2.99474448E-01 1.01161171E-02 1.05236862E-02 2.08211411E-02 4.26772138E-04 4.58913244E-04 45.3705 5.31954527E+00 1.46586243E-02 1.38516175E-02 5.61718225E-01 3.93081307E-02 3.84964384E-02 2.10351287E-03 1.19580400E-04 1.23418926E-04 17.0437 - - - - - - - - - - C 0.0 6384.0
XTEJ1550-564 30191-01-15-00 2.05487156E+00 2.22767089E-02 2.40242891E-02 6.38646364E-01 7.35164136E-02 6.82266057E-02 1.71106390E-03 1.94593595E-04 1.82354706E-04 9.38316 4.12652063E+00 4.32946673E-03 4.33954271E-03 3.92938823E-01 1.06405756E-02 1.10120727E-02 1.60455983E-02 2.80549837E-04 2.95633712E-04 54.2753 8.13885212E+00 1.54800480E-02 1.52675798E-02 8.23189020E-01 4.56887856E-02 4.41011451E-02 1.39232830E-03 6.25269167E-05 6.27297632E-05 22.1957 - - - - - - - - - - C 0.0 6352.0
XTEJ1550-564 30191-01-16-00 1.49548602E+00 2.38990206E-02 2.68384181E-02 6.49484456E-01 1.11440331E-01 8.82611498E-02 3.35099036E-03 6.73249247E-04 5.20525500E-04 6.43771 2.98341846E+00 5.56911156E-03 5.40353125E-03 4.01555479E-01 1.64626539E-02 1.48112094E-02 2.20963173E-02 5.65125316E-04 5.35529805E-04 41.2607 5.91304255E+00 2.33995821E-02 2.33032387E-02 7.73853004E-01 6.63309768E-02 6.39162511E-02 2.20165821E-03 1.82139964E-04 1.79239039E-04 12.2834 - - - - - - - - - - C 0.0 3661.0
XTEJ1550-564 30191-01-16-00-2 1.63167644E+00 3.87722589E-02 3.96711268E-02 6.23803675E-01 1.20740943E-01 1.03710011E-01 3.65169276E-03 6.53190189E-04 6.21210842E-04 5.87835 3.30737305E+00 1.05838943E-02 1.01974998E-02 4.04737294E-01 3.63253392E-02 3.32141966E-02 2.02151537E-02 9.48655303E-04 9.47031251E-04 21.3458 6.50211573E+00 3.02074347E-02 3.12098619E-02 5.01295388E-01 9.22523588E-02 8.29718783E-02 1.59096485E-03 2.22251605E-04 2.13362102E-04 7.45664 - - - - - - - - - - C 6764.0 7446.0
XTEJ1550-564 30191-01-16-01 1.38394797E+00 3.15032750E-02 3.10310442E-02 4.44614112E-01 1.28490761E-01 9.87512097E-02 2.55793007E-03 7.42114848E-04 6.22641004E-04 4.10819 2.87131190E+00 8.58130120E-03 8.60005338E-03 3.36556315E-01 2.49598287E-02 2.48952843E-02 2.04296838E-02 8.61741137E-04 8.99265870E-04 22.7182 5.71183777E+00 2.67358404E-02 2.60603353E-02 5.52870691E-01 7.66012669E-02 6.95266575E-02 2.17338139E-03 2.34742620E-04 2.33057784E-04 9.3255 - - - - - - - - - - C 0.0 1744.0
XTEJ1550-564 30191-01-17-00 1.76635504E+00 2.00118795E-02 2.25158595E-02 6.26796007E-01 6.55360967E-02 5.98922409E-02 2.62032659E-03 2.66858173E-04 2.53773178E-04 10.3255 3.59326935E+00 5.12536149E-03 5.43017266E-03 4.06365126E-01 1.24135790E-02 1.32242134E-02 1.81022026E-02 3.72958864E-04 4.14237671E-04 43.7 7.11272144E+00 1.87631678E-02 1.56487618E-02 8.52797806E-01 5.91944642E-02 5.93200177E-02 1.97085738E-03 1.05587715E-04 1.13908209E-04 17.3022 - - - - - - - - - - C 0.0 6573.0
XTEJ1550-564 30191-01-17-00-2 1.66831696E+00 2.32282355E-02 2.40327604E-02 5.29456675E-01 8.13208148E-02 7.82422945E-02 2.29532295E-03 3.19472951E-04 3.24988854E-04 7.06277 3.36321306E+00 5.43629890E-03 5.65747265E-03 3.34033102E-01 1.40582407E-02 1.42480126E-02 1.86123047E-02 5.12063212E-04 5.73692203E-04 32.443 6.66573620E+00 1.82620808E-02 1.68280527E-02 6.55452251E-01 5.18439971E-02 5.14187738E-02 2.04475760E-03 1.22375801E-04 1.29796186E-04 15.7536 - - - - - - - - - - C 10048.0 12396.0
XTEJ1550-564 30191-01-17-00-3 1.74977410E+00 4.59762886E-02 5.48059680E-02 4.74024981E-01 1.79586053E-01 1.41414046E-01 2.37439666E-03 7.89429876E-04 6.76743162E-04 3.50856 3.41645622E+00 2.10180990E-02 1.83279160E-02 4.04275090E-01 5.16859442E-02 4.36379910E-02 1.67763010E-02 1.04417827E-03 9.79156466E-04 17.1334 6.73225832E+00 4.08252031E-02 3.92639711E-02 6.10242784E-01 1.44813046E-01 1.16396703E-01 1.52979651E-03 2.73407262E-04 2.29622601E-04 6.66222 - - - - - - - - - - C 15824.0 16336.0
