Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
GX339-4 90110-02-01-03 - - - - - - - - - - 4.09421062E+00 1.33322030E-02 1.32618053E-02 4.68399435E-01 2.09306143E-02 1.97947826E-02 6.86122011E-03 2.35041080E-04 2.35053623E-04 29.19 8.03270531E+00 9.24091488E-02 9.35133994E-02 1.18889964E+00 2.64099538E-01 2.13003740E-01 8.00318725E-04 1.13084447E-04 1.07761560E-04 7.42676 - - - - - - - - - - B 0.0 1088.0
GX339-4 90704-01-02-00 - - - - - - - - - - 4.20713186E+00 1.09176766E-02 1.11121777E-02 5.99394619E-01 2.76238751E-02 3.12644951E-02 6.60738954E-03 2.13375082E-04 2.74276535E-04 24.0902 7.75451899E+00 2.88510531E-01 6.45071507E-01 3.71503544E+00 2.02466369E+00 1.25525808E+00 1.53845153E-03 4.53835732E-04 3.15061479E-04 4.88302 - - - - - - - - - - B 0.0 3120.0
GX339-4 92035-01-03-01 - - - - - - - - - - 1.67295754E+00 4.39217966E-03 4.15611826E-03 1.23900190E-01 8.98533128E-03 8.65959842E-03 4.06179670E-03 2.19816284E-04 2.23929426E-04 18.1387 3.34385657E+00 8.38021748E-03 8.38647876E-03 3.19758922E-01 2.55113021E-02 2.37588026E-02 2.84232921E-03 1.61044925E-04 1.62936354E-04 17.4444 5.12167692E+00 7.65027925E-02 8.91544893E-02 6.45246804E-01 2.95030653E-01 2.47413635E-01 3.46915884E-04 1.23567166E-04 1.09239008E-04 3.17575 C 0.0 3457.0
GX339-4 92035-01-03-02 - - - - - - - - - - 2.45219302E+00 3.68332816E-03 3.70846759E-03 1.39886960E-01 8.46606866E-03 8.10154900E-03 5.00518037E-03 2.13511914E-04 2.13668754E-04 23.425 4.93843794E+00 1.51484450E-02 1.47347245E-02 4.60891336E-01 7.03521073E-02 6.02079034E-02 1.14989548E-03 1.30619897E-04 1.19613011E-04 9.61346 7.38287878E+00 7.96199664E-02 6.90755993E-02 5.85723221E-01 2.41391063E-01 1.78797290E-01 2.50731129E-04 9.32594558E-05 7.32133121E-05 3.42467 C 0.0 3441.0
GX339-4 92035-01-03-03 - - - - - - - - - - 3.51179051E+00 5.33690862E-03 5.48073649E-03 2.89891601E-01 1.56367831E-02 1.39809716E-02 5.39179193E-03 1.82885007E-04 1.69979612E-04 31.7202 7.09915638E+00 2.79392991E-02 2.63040122E-02 5.89146435E-01 7.25517869E-02 6.21222146E-02 8.29183671E-04 7.33856068E-05 6.66196720E-05 12.4465 - - - - - - - - - - C 0.0 3390.0
GX339-4 92035-01-03-05 3.02735996E+00 5.47746569E-02 4.80441973E-02 9.18179691E-01 2.73366570E-01 2.32421547E-01 1.02331303E-03 2.59720488E-04 2.30616279E-04 4.4373 5.76038980E+00 2.19149869E-02 2.21779160E-02 5.93198240E-01 9.30046886E-02 8.89792740E-02 2.62086513E-03 5.89985051E-04 5.49161748E-04 4.77248 1.14919119E+01 2.64144450E-01 2.60602921E-01 6.18986416E+00 7.05164909E-01 7.48573542E-01 2.29546451E-03 2.70370743E-04 3.27060407E-04 7.01847 - - - - - - - - - - C 0.0 3407.0
GX339-4 92035-01-03-06 2.86439729E+00 7.42252693E-02 7.22082630E-02 7.23789513E-01 2.29227409E-01 2.20047161E-01 5.27122407E-04 1.80544375E-04 1.65111152E-04 3.19253 5.56635284E+00 1.07856244E-02 1.06026353E-02 7.69605637E-01 4.07781489E-02 4.14555781E-02 4.38809162E-03 1.39812502E-04 1.49454427E-04 29.3607 1.12394934E+01 7.57763162E-02 7.43365139E-02 2.25635076E+00 3.75606805E-01 3.32381129E-01 9.53348645E-04 1.25429535E-04 1.15618685E-04 8.24563 - - - - - - - - - - - 0.0 3409.0
GX339-4 92085-01-03-01 3.03450608E+00 2.88609974E-02 2.95215826E-02 3.02828521E-01 1.44078463E-01 1.17545523E-01 1.18401884E-04 3.93247756E-05 3.24340472E-05 3.65054 6.20155287E+00 1.30077628E-02 1.27533954E-02 9.07419860E-01 2.74974871E-02 2.68289000E-02 3.74991703E-03 7.97681423E-05 8.19512934E-05 45.7579 1.21137390E+01 9.28534493E-02 9.90862399E-02 1.42563200E+00 3.97313625E-01 3.03918988E-01 2.53944396E-04 4.49491235E-05 4.16871953E-05 6.09166 - - - - - - - - - - B 0.0 2496.0
GX339-4 92428-01-04-00 2.13495421E+00 4.82490659E-02 4.30041142E-02 4.37349260E-01 1.22597240E-01 1.13796361E-01 6.48410642E-04 1.64780300E-04 1.52590539E-04 4.24935 4.34380579E+00 6.49888162E-03 6.52958266E-03 4.17880654E-01 2.00891215E-02 1.97109245E-02 5.85411582E-03 1.70437474E-04 1.75995869E-04 33.2628 8.77599144E+00 3.39189023E-02 3.23653147E-02 1.01426280E+00 1.16166070E-01 1.06541388E-01 1.17442885E-03 8.91727686E-05 8.87496426E-05 13.2331 - - - - - - - - - - C 0.0 3392.0
GX339-4 92428-01-04-01 2.04157162E+00 4.50591706E-02 2.14352924E-02 1.83242634E-01 1.65331036E-01 7.98310488E-02 3.75535485E-04 1.76601694E-04 1.13333910E-04 3.31353 4.22995567E+00 8.55907053E-03 8.32376163E-03 3.67606908E-01 2.15668716E-02 2.05233302E-02 5.31210704E-03 2.05378805E-04 2.10204540E-04 25.2711 8.49615097E+00 3.51723060E-02 3.29386592E-02 1.04446590E+00 1.13552287E-01 1.03941828E-01 1.37232512E-03 1.00004247E-04 1.00379846E-04 13.6713 - - - - - - - - - - C 0.0 1785.0
GX339-4 92428-01-04-02 2.15868926E+00 5.59983589E-02 5.85163720E-02 3.55810404E-01 1.96775794E-01 1.29125237E-01 4.61914140E-04 2.20945090E-04 1.67037695E-04 2.76533 4.13627720E+00 1.01881362E-02 1.00744376E-02 4.04717594E-01 2.69002263E-02 2.44618785E-02 5.50361350E-03 2.52124533E-04 2.42734794E-04 22.6734 8.37178898E+00 4.40844372E-02 4.16210778E-02 1.07779181E+00 1.57554001E-01 1.32056162E-01 1.21238781E-03 1.15991890E-04 1.06427324E-04 11.3917 - - - - - - - - - - C 0.0 1404.0
GX339-4 92428-01-04-03 2.52685881E+00 3.73259336E-02 3.54018845E-02 3.41933966E-01 1.47742346E-01 1.19799912E-01 5.96185797E-04 1.99058995E-04 1.59864256E-04 3.72933 4.99277925E+00 1.12720933E-02 1.08200740E-02 4.90110517E-01 3.84515263E-02 3.23632136E-02 5.01127727E-03 2.22082293E-04 2.03029253E-04 24.6825 1.00838213E+01 7.91143253E-02 5.47891073E-02 1.11999583E+00 3.80831093E-01 2.25656882E-01 9.16425837E-04 1.67140752E-04 1.14150309E-04 8.02824 - - - - - - - - - - C 0.0 1472.0
GX339-4 92428-01-04-04 2.90453100E+00 3.90230343E-02 6.25446886E-02 2.70483226E-01 1.84751719E-01 1.48407400E-01 2.82657071E-04 1.41717610E-04 9.66548687E-05 2.9244 5.61891174E+00 1.50525961E-02 1.45367393E-02 7.16987073E-01 5.75676896E-02 4.80251089E-02 4.35934775E-03 2.05697739E-04 1.80531177E-04 24.1473 1.13521976E+01 1.57564968E-01 1.44930124E-01 2.23714375E+00 6.28502309E-01 5.14216959E-01 7.15145608E-04 1.70045168E-04 1.37936164E-04 5.18461 - - - - - - - - - - - 0.0 1529.0
GX339-4 95335-01-01-00 - - - - - - - - - - 5.26634121E+00 1.04741408E-02 1.04470495E-02 6.61298871E-01 1.82482600E-02 1.77562870E-02 5.75083448E-03 1.19184420E-04 1.19122204E-04 48.2768 1.04835606E+01 1.07583985E-01 1.12893425E-01 1.34534883E+00 2.95107722E-01 2.41993949E-01 5.42346796E-04 7.95760861E-05 7.53367203E-05 7.19897 - - - - - - - - - - B 0.0 3736.0
GX339-4 95335-01-01-01 - - - - - - - - - - 5.08530474E+00 9.38685145E-03 9.45025869E-03 5.55413544E-01 1.51674300E-02 1.46992793E-02 4.58177552E-03 9.57937737E-05 9.58829696E-05 47.7851 1.02529964E+01 8.19408521E-02 8.03283826E-02 1.29159236E+00 2.01642722E-01 1.77326724E-01 5.03431016E-04 5.42894813E-05 5.25765208E-05 9.57521 - - - - - - - - - - B 0.0 3144.0
GX339-4 95335-01-01-05 - - - - - - - - - - 4.90991640E+00 1.16439927E-02 1.15627497E-02 5.05356729E-01 1.99883673E-02 1.91682260E-02 4.31522448E-03 1.27705818E-04 1.27630992E-04 33.8102 9.72217464E+00 1.19260058E-01 1.23427555E-01 1.05741692E+00 3.94990742E-01 3.01439762E-01 3.28622322E-04 7.37924420E-05 6.86257772E-05 4.78861 - - - - - - - - - - B 0.0 1728.0
GX339-4 95335-01-01-07 - - - - - - - - - - 5.32100821E+00 1.70405824E-02 1.69056859E-02 6.82618439E-01 2.87400354E-02 2.71511599E-02 5.98864909E-03 1.87493977E-04 1.87287689E-04 31.9757 1.01865921E+01 1.52248785E-01 1.25982434E-01 1.40697384E+00 4.55840021E-01 3.46195489E-01 6.29343616E-04 1.17866090E-04 1.06355103E-04 5.91738 - - - - - - - - - - B 0.0 1230.0
GX339-4 95409-01-14-04 - - - - - - - - - - 2.38019967E+00 5.64542226E-03 5.68770757E-03 9.94062051E-02 1.15793236E-02 1.02120172E-02 4.64342115E-03 3.69276328E-04 3.78898898E-04 12.255 4.76813841E+00 1.60852186E-02 1.69582330E-02 2.46377468E-01 5.82319349E-02 5.03189154E-02 1.09059969E-03 1.54995621E-04 1.41386598E-04 7.7136 7.43927479E+00 1.28096059E-01 1.26944348E-01 2.11013222E+00 7.91282892E-01 5.40213645E-01 1.75243802E-03 5.15696302E-04 3.92118178E-04 4.46916 C 0.0 992.0
GX339-4 95409-01-14-05 - - - - - - - - - - 3.63976359E+00 8.27161502E-03 8.57781805E-03 2.30192393E-01 3.27167548E-02 2.62649655E-02 5.90222934E-03 4.09994944E-04 3.85342631E-04 15.3168 7.37020874E+00 6.34180307E-02 6.40587732E-02 6.54751480E-01 1.40994325E-01 1.17687583E-01 1.04973896E-03 1.83480603E-04 1.74819157E-04 6.00471 - - - - - - - - - - C 0.0 784.0
GX339-4 95409-01-14-06 - - - - - - - - - - 2.42462277E+00 4.88020852E-03 4.26584575E-03 8.66205469E-02 8.31445120E-03 7.33679486E-03 4.52189054E-03 3.01433203E-04 2.94181023E-04 15.3711 4.86547089E+00 1.53467199E-02 1.63352359E-02 2.87697464E-01 3.88761200E-02 3.24663334E-02 1.28083013E-03 1.27544656E-04 1.16570685E-04 10.9876 7.26512575E+00 4.93518636E-02 4.85201739E-02 8.39719296E-01 2.44877413E-01 1.75681219E-01 9.78492433E-04 1.90982304E-04 1.64694822E-04 5.94125 C 0.0 1584.0
GX339-4 95409-01-14-07 - - - - - - - - - - 2.91741514E+00 3.16879526E-03 2.99500115E-03 1.52854115E-01 1.06753167E-02 1.10893985E-02 5.85988816E-03 2.07261633E-04 2.07045465E-04 28.3024 5.92919064E+00 2.23400071E-02 2.18097810E-02 5.08372128E-01 6.14204966E-02 5.70498146E-02 8.31579964E-04 7.68463069E-05 7.59449613E-05 10.9498 8.77989101E+00 3.05468123E-02 3.03719975E-02 5.43494523E-01 1.31839305E-01 1.18372642E-01 3.79189238E-04 5.44439208E-05 5.13871273E-05 7.37907 C 0.0 3524.0
GX339-4 95409-01-15-00 - - - - - - - - - - 4.14940262E+00 1.14607820E-02 1.06260013E-02 3.29852223E-01 3.69511321E-02 3.38399485E-02 5.30044222E-03 3.09642346E-04 3.12697375E-04 16.9507 8.36345482E+00 4.51081917E-02 3.91948074E-02 6.25584543E-01 1.47711709E-01 1.04335465E-01 9.53028793E-04 1.33440946E-04 1.12956237E-04 8.43715 - - - - - - - - - - C 0.0 768.0
GX339-4 95409-01-15-01 2.82748103E+00 4.71496210E-02 4.16500196E-02 2.15428010E-01 1.63032383E-01 -1.00000000E+00 2.48104712E-04 1.14957831E-04 9.46420769E-05 2.62151 5.68433475E+00 1.64388195E-02 1.55396974E-02 4.96849269E-01 5.86385131E-02 5.21294326E-02 2.87472364E-03 1.98839116E-04 1.96451321E-04 14.6333 1.18088970E+01 1.51355773E-01 1.39839128E-01 2.71813512E+00 6.59929872E-01 5.68124175E-01 1.04756583E-03 2.16647895E-04 1.87721002E-04 5.58044 - - - - - - - - - - C 0.0 992.0
GX339-4 95409-01-15-06 - - - - - - - - - - 5.67915249E+00 1.05658192E-02 1.05701443E-02 4.65628117E-01 1.53488023E-02 1.44281350E-02 3.32742557E-03 8.67800554E-05 8.64537578E-05 38.4879 1.10892391E+01 9.37265158E-02 8.98949951E-02 1.66835332E+00 3.03521514E-01 2.55651951E-01 2.99537583E-04 3.24597640E-05 3.11590338E-05 9.61319 - - - - - - - - - - B 0.0 1426.0
GX339-4 95409-01-17-05 - - - - - - - - - - 5.23260927E+00 1.07423076E-02 1.07092671E-02 5.61164558E-01 1.68257356E-02 1.62695479E-02 4.43051616E-03 1.01346450E-04 1.01303362E-04 43.7351 1.01895266E+01 1.00976959E-01 9.40535516E-02 1.27883339E+00 2.20893413E-01 1.90151349E-01 4.56025533E-04 5.53790524E-05 5.30552315E-05 8.5953 - - - - - - - - - - B 0.0 2608.0
GX339-4 95409-01-17-06 - - - - - - - - - - 5.12236547E+00 1.51426494E-02 1.52091281E-02 5.69844007E-01 2.54973434E-02 2.44681910E-02 4.81412327E-03 1.61403572E-04 1.61266624E-04 29.852 1.01369085E+01 1.01062477E-01 1.08436376E-01 8.95558357E-01 3.32943916E-01 2.57264942E-01 3.87291453E-04 8.69352953E-05 8.14057494E-05 4.75754 - - - - - - - - - - B 0.0 1310.0
GX339-4 95409-01-18-00 - - - - - - - - - - 5.38386869E+00 1.37126772E-02 1.35301333E-02 6.56512201E-01 2.44117454E-02 2.27274988E-02 5.45764389E-03 1.46240141E-04 1.46533290E-04 37.2451 1.02936888E+01 1.47955447E-01 1.45593315E-01 2.45986342E+00 5.76196551E-01 4.59966153E-01 7.05108861E-04 9.37002624E-05 8.72951496E-05 8.0773 - - - - - - - - - - B 0.0 1285.0
GX339-4 95409-01-18-05 - - - - - - - - - - 4.95378304E+00 2.12876964E-02 2.07597204E-02 4.98111576E-01 3.23270336E-02 3.02318186E-02 5.02022263E-03 2.46060023E-04 2.46306212E-04 20.382 9.53151512E+00 2.53064960E-01 1.77771136E-01 9.19821918E-01 4.12668824E-01 3.45068008E-01 4.04642196E-04 1.26646642E-04 1.16219046E-04 3.48172 - - - - - - - - - - B 0.0 659.0
